ID,Date,User,Screen Name,Location,Text,Source,Likes,RTs
1082823007041576960,2019-01-09 02:14:57,Victor Arturo Mares,VAMaresBoy,"Mexico
","@ayudaizzi el servicio en la colonia Roma Norte ha estado intermitente desde la mañana y ahora ya no hay, están haciendo algo? Alguna reparación?",Twitter for iPhone,0,0
1082822587497893890,2019-01-09 02:13:17,Fanny Cruuz,fannruz,"Texcoco, México","@ayudaizzi  por un fallo en mi zona llevo más de 8 horas sin internet, teléfono ni señal de televisión, hablé a las 2 pm y dijeron que se restablecería pronto... para cuando?",Twitter for iPhone,0,0
1082821509251457024,2019-01-09 02:09:00,Rodrigo Cerdeira,rocercal,,@ayudaizzi Porque el servicio que recibo no me tiene satisfecho y ya no quiero seguirles dando oportunidades. En concreto porque así me place.,Twitter for iPhone,0,0
1082819147640107008,2019-01-09 01:59:37,Cristian Flores D.,yahircf,Tampico,@ayudaizzi Enterado gracias!,Twitter for iPhone,0,0
1082816160926621696,2019-01-09 01:47:45,JogaBonito,Goyin1608,,"@ayudaizzi Tengo problemos con mi izzigo, ¿qué puedo hacer?",Twitter for Android,0,0
1082809861178503168,2019-01-09 01:22:43,Guadalupe Michaca,GMichaca,,"Y en 3, 2, 1 el chatbot de @ayudaizzi pidiendo info por DM para hacer como que hacen. 😠 https://t.co/J4nbkR7Ytf",Twitter for Android,1,1
1082807826299334656,2019-01-09 01:14:38,Viviana 💛,VivianaCalvillo,"Torreón, Coahuila de Zaragoza","@mikeidg @izzi_mx @ayudaizzi En ti siempre confío 😁
Ya se volviero a ir 😭
Ay @izzi_mx porque hacen eso 😤😤 @ayudaizzi",Twitter for Android,0,0
1082805888946040832,2019-01-09 01:06:56,Enrique Villarreal,evillap,@consumotic,"@ayudaizzi toda la tarde he tenido servicio de internet intermitente, 10 minutos si, una hora no... ¿que pasa con el serviciooooooo? el internet lo necesitamos sieeemmmpreee, no por ratitos...",Twitter Web Client,1,0
1082803405930795008,2019-01-09 00:57:04,Mike Escobedo,mikeidg,,@VivianaCalvillo @izzi_mx @ayudaizzi jajajajajaj en mi!!!! :P por que en esas empresas nomas no jajajajja,Twitter Web Client,0,0
1082801475401596929,2019-01-09 00:49:23,Viviana 💛,VivianaCalvillo,"Torreón, Coahuila de Zaragoza","@mikeidg @izzi_mx @ayudaizzi 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ ooh de nuevo fallas no bueno, ya ni se ni en quien confiar 😐",Twitter for Android,0,0
1082800475441893376,2019-01-09 00:45:25,Mike Escobedo,mikeidg,,@VivianaCalvillo Holaa Pechocha!!! que tal aqui andamos haciendo corajes con el internet de @izzi_mx @ayudaizzi,Twitter Web Client,0,0
1082800135178985478,2019-01-09 00:44:04,Criss,Criss_Winter,México,@sirenadejardin @ayudaizzi @izzi_mx En muchas ocasiones y más con los servicios que solo les interesa cobrar la solución es la más dura,Twitter for Android,0,0
1082800075397566465,2019-01-09 00:43:50,Mike Escobedo,mikeidg,,Atención @izzi_mx @ayudaizzi hay problemas con su internet en @AlcCuauhtemocMx alguien puede dar una solución es urgente,Twitter for Android,0,0
1082799737441402880,2019-01-09 00:42:29,Ąränzą MãRäm,aranzish,Mèxico,"@ayudaizzi @izzi_mx Buena tarde en la Colonia Ciudad Azteca de Ecatepec NO contamos con servicio de internet, telefonía ni televisión desde hace más de 2 horas y solo nos dicen que en un momento queda y YA!!! ¿Puede agilizar su “momento”, por favor!?? 😡😡😡😡",Twitter for iPhone,0,0
1082799107314466816,2019-01-09 00:39:59,𝓈𝒾𝓇𝑒𝓃𝒶 ♡,sirenadejardin,m,"@Criss_Winter @ayudaizzi @izzi_mx No es que quiera dejar de pagar :( sólo quiero que no se vaya el internet 80 veces al día, si se va 2 o 5 entiendo pero 8 veces está cañon",Twitter Web Client,0,0
1082797917134643201,2019-01-09 00:35:15,Kayitakay,kay_contreras,,@ayudaizzi Me siguen xfa,Twitter for iPhone,0,0
1082795734506881024,2019-01-09 00:26:35,Mike Vargas [MVargasX] 🎙,mvargasX,"Acapulco de Juárez, Guerrero","@ayudaizzi Buenas tardes, muchachos. Les comento que su servicio de internet esta fallando de manera brutal. Internet intermitente y luego sin el servicio. Les agradecería pudieran darle una revisada.",Twitter for Android,0,0
1082794961836429312,2019-01-09 00:23:30,▼Paul Erazo©,draotth22,"Pichincha, Ecuador",@sirenadejardin @ayudaizzi @izzi_mx llámalos y diles que reinicien cosas yo lo hago y se me soluciona,Twitter Web Client,1,0
1082794930249043968,2019-01-09 00:23:23,Georgina Navarrete,giaglams,"Cuauhtémoc, Distrito Federal",@ayudaizzi  Llevo todo el día con el servicio de internet caído ¿hay fallas en @StaMarialaRiber o es solo en mi caso?,Twitter for iPhone,0,0
1082794815669104640,2019-01-09 00:22:56,Criss,Criss_Winter,México,"@sirenadejardin @ayudaizzi @izzi_mx Lee el contrato, si tú servicio no viene estipulado cuántos MB debes de tener solo queda reclamar, si tu contrato dice cuántos MB debes de tener y demás servicios, puedes dejar de pagar por incumplimiento de contrato o algo más grave xD",Twitter for Android,1,0
1082794183524401152,2019-01-09 00:20:25,Miguel Ángel II,Mr_Pods,Ori,"@sirenadejardin @ayudaizzi @izzi_mx Carlos Slim te está esperando con los brazos abiertos, vuelve a telmex 🙏",Twitter for Android,1,0
1082794069162639360,2019-01-09 00:19:58,Ⓜaxper⚝ 🇺🇾,Basshmaxi,"Barcelona, Cataluña",@sirenadejardin @ayudaizzi @izzi_mx Le va de puta madre por no decir 10 puntos!! 😎,Twitter Web Client,1,0
1082793684335157249,2019-01-09 00:18:26,zetta b,perrofox,,"@ayudaizzi @profeco @QuePocaMadre_Mx @eazcarraga  
Qué pedo con tu servicio pedorro de Internet, Izzi?
@profeco Izzi incumple con el servicio de megas que ofrece https://t.co/3fa8C6w3hQ",Twitter for iPhone,0,0
1082793650877284352,2019-01-09 00:18:18,Baro,xl_Baro_lx,"Córdoba, Veracruz de Ignacio d","@sirenadejardin @ayudaizzi @izzi_mx sisisisisi @ayudaizzi  @izzi_mx  pinche servicio deficiente, no valen verga, hace emputar a mi diosa sire, arreglen esta mierda plox",Twitter Web Client,1,1
